Date,Adj_Close,Open,adx,aroondown,aroonup,aroonosc,bop,cci,cmo,dx,mfi,minus_di,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr
2020-07-22,67.50614166259766,66.19000244140625,14.494043383587101,35.714285714285715,100.0,64.28571428571429,0.7499967339985488,189.19494505058066,39.94497288537723,42.45730053170739,78.8980573313461,12.249871854952913,30.32676069146727,1.0773011312566134,7.54953646449692,69.97248644268862,87.85054438960856,88.32647287725376,94.25974735420314,87.85054438960856,0.110077378751261,58.95115575201899,-5.740252645796863
2020-07-23,67.39754486083984,68.27999877929689,16.500801266391743,28.571428571428573,100.0,71.42857142857143,-0.01052859827497796,164.05358964112108,38.333020991435845,42.58865374285208,78.13661684115752,11.70804113079431,29.078465001124226,1.4080076565466155,7.342764592746853,69.16651049571793,90.52632522997003,89.09994947198227,92.31924423026945,90.52632522997003,0.14914343124818874,58.852091067916135,-7.680755769730556
2020-07-24,67.01252746582031,68.77999877929689,17.9555846527858,21.42857142857143,100.0,78.57142857142857,-0.60402564286373,123.11980683999795,32.50552122041025,36.86776867590852,81.41371112635584,12.48043960171713,27.057018016875073,1.6973865155031826,6.445031780071009,66.25276061020513,90.16568011149673,89.5141832436921,83.91804875001796,90.16568011149673,0.18483081069358143,60.242642766102485,-16.08195124998205
2020-07-27,66.64726257324219,67.98000335693361,18.64613349325571,14.285714285714286,92.85714285714286,78.57142857142857,-0.37903156340368643,83.31543254814464,27.03780297749797,27.623268419364543,82.61328092887099,14.444432708408304,25.47014313097083,2.066028712815882,6.752056205617718,63.51890148874898,83.6453632477051,88.11245619639095,74.69879676282828,83.6453632477051,0.21333135587062735,57.86580016859838,-21.491233451529556
2020-07-28,67.49626922607422,67.40000152587889,19.73342906058257,7.142857142857143,85.71428571428572,78.57142857142857,0.5808396911690987,97.04039939680402,33.868542100032315,33.868271435831716,81.9929403336203,13.312070337461815,26.947183810250287,2.393149173671206,7.213426777164678,66.93427105001616,82.7059016559894,85.5056483383974,89.5008594551223,82.7059016559894,0.23968426335299053,55.9810037462815,-8.918132405611583
2020-07-29,67.85167694091797,68.37000274658203,20.743060658814652,0.0,78.57142857142857,78.57142857142857,0.4235270886439689,98.04528267833612,36.54656386495805,33.8682714358317,87.93066844873206,12.763605192050903,25.836943951818053,2.760863457969022,7.106132644702301,68.27328193247902,86.4293562301922,84.26020704462923,95.08841247262639,86.4293562301922,0.2641199980445652,59.48753725395106,-4.302922147416568
2020-07-30,68.11822509765625,67.87999725341797,22.115548200385664,7.142857142857143,100.0,92.85714285714286,0.5358854643883172,91.11798237404916,38.55622890940409,39.9578862408088,88.16557909379898,11.508104447559901,26.8253376218351,3.0266100344229905,6.74505051287142,69.27811445470205,91.53578974408691,86.89034921008982,90.01809730451242,91.53578974408691,0.2862916392426085,62.95342436198048,-8.620730890653402
2020-07-31,68.15771484375,68.51999664306639,23.390000917558748,0.0,92.85714285714286,92.85714285714286,0.38235591109516864,87.53008010032033,38.86515429987056,39.957886240808804,88.42978504736779,10.765984605927178,25.095459743303884,3.318608925548885,7.538947347905878,69.43257714993528,91.89316320357678,89.95276972595228,90.57297983359187,91.89316320357678,0.3047547717903054,60.17731767580173,-9.01063261927998
2020-08-03,67.88128662109375,68.75,24.573421297790897,0.0,85.71428571428572,85.71428571428572,0.012348237244393373,72.66514381881532,33.79426500020073,39.957886240808804,80.25505981124951,10.323181431310514,24.06328761511026,3.442515531617247,5.800899209696131,66.89713250010037,87.6654744950016,90.36480914755542,82.40534634690083,87.6654744950016,0.31702446350958535,61.67521717258004,-14.337579115129042
2020-08-04,69.03633117675781,68.73000335693361,26.348207937652383,0.0,100.0,100.0,0.6521708483121946,115.45118029170295,43.13811446259535,49.420434255851696,81.10673793154257,9.410169365592369,27.799202550302578,3.4301257300527515,5.332129760614679,71.56905723129768,88.77053056566172,89.44305608808035,93.33326551649274,88.77053056566172,0.3300793493274723,68.92821467847325,-4.926155276243004
